time,vx, vy, vtheta
0.01,0.015,0,0
0.02,0.03,0,0
0.03,0.045,0,0
0.04,0.06,0,0
0.05,0.075,0,0
0.06,0.09,0,0
0.07,0.105,0,0
0.08,0.12,0,0
0.09,0.135,0,0
0.1,0.15,0,0
0.11,0.165,0,0
0.12,0.18,0,0
0.13,0.195,0,0
0.14,0.21,0,0
0.15,0.225,0,0
0.16,0.24,0,0
0.17,0.255,0,0
0.18,0.27,0,0
0.19,0.285,0,0
0.2,0.3,0,0
0.21,0.315,0,0
0.22,0.33,0,0
0.23,0.345,0,0
0.24,0.36,0,0
0.25,0.375,0,0
0.26,0.39,0,0
0.27,0.405,0,0
0.28,0.42,0,0
0.29,0.435,0,0
0.3,0.45,0,0
0.31,0.465,0,0
0.32,0.48,0,0
0.33,0.495,0,0
0.34,0.51,0,0
0.35,0.525,0,0
0.36,0.54,0,0
0.37,0.555,0,0
0.38,0.57,0,0
0.39,0.585,0,0
0.4,0.6,0,0
0.41,0.615,0,0
0.42,0.63,0,0
0.43,0.645,0,0
0.44,0.66,0,0
0.45,0.675,0,0
0.46,0.69,0,0
0.47,0.705,0,0
0.48,0.72,0,0
0.49,0.735,0,0
0.5,0.75,0,0
0.51,0.765,0,0
0.52,0.78,0,0
0.53,0.795,0,0
0.54,0.81,0,0
0.55,0.825,0,0
0.56,0.84,0,0
0.57,0.855,0,0
0.58,0.87,0,0
0.59,0.885,0,0
0.6,0.9,0,0
0.61,0.915,0,0
0.62,0.93,0,0
0.63,0.945,0,0
0.64,0.96,0,0
0.65,0.975,0,0
0.66,0.99,0,0
0.67,1.005,0,0
0.68,1.02,0,0
0.69,1.035,0,0
0.7,1.05,0,0
0.71,1.065,0,0
0.72,1.08,0,0
0.73,1.095,0,0
0.74,1.11,0,0
0.75,1.125,0,0
0.76,1.14,0,0
0.77,1.155,0,0
0.78,1.17,0,0
0.79,1.185,0,0
0.8,1.2,0,0
0.81,1.215,0,0
0.82,1.23,0,0
0.83,1.245,0,0
0.84,1.26,0,0
0.85,1.275,0,0
0.86,1.29,0,0
0.87,1.305,0,0
0.88,1.32,0,0
0.89,1.335,0,0
0.9,1.35,0,0
0.91,1.365,0,0
0.92,1.38,0,0
0.93,1.395,0,0
0.94,1.41,0,0
0.95,1.425,0,0
0.96,1.44,0,0
0.97,1.455,0,0
0.98,1.47,0,0
0.99,1.485,0,0
1,1.5,0,0
1.01,1.515,0,0
1.02,1.53,0,0
1.03,1.545,0,0
1.04,1.56,0,0
1.05,1.575,0,0
1.06,1.59,0,0
1.07,1.605,0,0
1.08,1.62,0,0
1.09,1.635,0,0
1.1,1.65,0,0
1.11,1.665,0,0
1.12,1.68,0,0
1.13,1.695,0,0
1.14,1.71,0,0
1.15,1.725,0,0
1.16,1.74,0,0
1.17,1.755,0,0
1.18,1.77,0,0
1.19,1.785,0,0
1.2,1.8,0,0
1.21,1.815,0,0
1.22,1.83,0,0
1.23,1.845,0,0
1.24,1.86,0,0
1.25,1.875,0,0
1.26,1.89,0,0
1.27,1.905,0,0
1.28,1.92,0,0
1.29,1.935,0,0
1.3,1.95,0,0
1.31,1.965,0,0
1.32,1.98,0,0
1.33,1.995,0,0
1.34,2.01,0,0
1.35,2.025,0,0
1.36,2.04,0,0
1.37,2.055,0,0
1.38,2.07,0,0
1.39,2.085,0,0
1.4,2.1,0,0
1.41,2.115,0,0
1.42,2.13,0,0
1.43,2.145,0,0
1.44,2.16,0,0
1.45,2.175,0,0
1.46,2.19,0,0
1.47,2.205,0,0
1.48,2.22,0,0
1.49,2.235,0,0
1.5,2.25,0,0
1.51,2.265,0,0
1.52,2.28,0,0
1.53,2.295,0,0
1.54,2.31,0,0
1.55,2.325,0,0
1.56,2.34,0,0
1.57,2.355,0,0
1.58,2.37,0,0
1.59,2.385,0,0
1.6,2.4,0,0
1.61,2.415,0,0
1.62,2.43,0,0
1.63,2.445,0,0
1.64,2.46,0,0
1.65,2.475,0,0
1.66,2.49,0,0
1.67,2.505,0,0
1.68,2.52,0,0
1.69,2.535,0,0
1.7,2.55,0,0
1.71,2.565,0,0
1.72,2.58,0,0
1.73,2.595,0,0
1.74,2.61,0,0
1.75,2.625,0,0
1.76,2.64,0,0
1.77,2.655,0,0
1.78,2.67,0,0
1.79,2.685,0,0
1.8,2.7,0,0
1.81,2.715,0,0
1.82,2.73,0,0
1.83,2.745,0,0
1.84,2.76,0,0
1.85,2.775,0,0
1.86,2.79,0,0
1.87,2.805,0,0
1.88,2.82,0,0
1.89,2.835,0,0
1.9,2.85,0,0
1.91,2.865,0,0
1.92,2.88,0,0
1.93,2.895,0,0
1.94,2.91,0,0
1.95,2.925,0,0
1.96,2.94,0,0
1.97,2.955,0,0
1.98,2.97,0,0
1.99,2.985,0,0
2,3,0,0
2.01,3.015,0,0
2.02,3.03,0,0
2.03,3.045,0,0
2.04,3.06,0,0
2.05,3.075,0,0
2.06,3.09,0,0
2.07,3.105,0,0
2.08,3.12,0,0
2.09,3.135,0,0
2.1,3.15,0,0
2.11,3.165,0,0
2.12,3.18,0,0
2.13,3.195,0,0
2.14,3.21,0,0
2.15,3.225,0,0
2.16,3.24,0,0
2.17,3.255,0,0
2.18,3.27,0,0
2.19,3.285,0,0
2.2,3.3,0,0
2.21,3.315,0,0
2.22,3.33,0,0
2.23,3.345,0,0
2.24,3.36,0,0
2.25,3.375,0,0
2.26,3.39,0,0
2.27,3.405,0,0
2.28,3.42,0,0
2.29,3.435,0,0
2.3,3.45,0,0
2.31,3.46320323,0,0
2.32,3.44820323,0,0
2.33,3.43320323,0,0
2.34,3.41820323,0,0
2.35,3.40320323,0,0
2.36,3.38820323,0,0
2.37,3.37320323,0,0
2.38,3.35820323,0,0
2.39,3.34320323,0,0
2.4,3.32820323,0,0
2.41,3.31320323,0,0
2.42,3.29820323,0,0
2.43,3.28320323,0,0
2.44,3.26820323,0,0
2.45,3.25320323,0,0
2.46,3.23820323,0,0
2.47,3.22320323,0,0
2.48,3.20820323,0,0
2.49,3.19320323,0,0
2.5,3.17820323,0,0
2.51,3.16320323,0,0
2.52,3.14820323,0,0
2.53,3.13320323,0,0
2.54,3.11820323,0,0
2.55,3.10320323,0,0
2.56,3.08820323,0,0
2.57,3.07320323,0,0
2.58,3.05820323,0,0
2.59,3.04320323,0,0
2.6,3.02820323,0,0
2.61,3.01320323,0,0
2.62,2.99820323,0,0
2.63,2.98320323,0,0
2.64,2.96820323,0,0
2.65,2.95320323,0,0
2.66,2.93820323,0,0
2.67,2.92320323,0,0
2.68,2.90820323,0,0
2.69,2.89320323,0,0
2.7,2.87820323,0,0
2.71,2.86320323,0,0
2.72,2.84820323,0,0
2.73,2.83320323,0,0
2.74,2.81820323,0,0
2.75,2.80320323,0,0
2.76,2.78820323,0,0
2.77,2.77320323,0,0
2.78,2.75820323,0,0
2.79,2.74320323,0,0
2.8,2.72820323,0,0
2.81,2.71320323,0,0
2.82,2.69820323,0,0
2.83,2.68320323,0,0
2.84,2.66820323,0,0
2.85,2.65320323,0,0
2.86,2.63820323,0,0
2.87,2.62320323,0,0
2.88,2.60820323,0,0
2.89,2.59320323,0,0
2.9,2.57820323,0,0
2.91,2.56320323,0,0
2.92,2.54820323,0,0
2.93,2.53320323,0,0
2.94,2.51820323,0,0
2.95,2.50320323,0,0
2.96,2.48820323,0,0
2.97,2.47320323,0,0
2.98,2.45820323,0,0
2.99,2.44320323,0,0
3,2.42820323,0,0
3.01,2.41320323,0,0
3.02,2.39820323,0,0
3.03,2.38320323,0,0
3.04,2.36820323,0,0
3.05,2.35320323,0,0
3.06,2.33820323,0,0
3.07,2.32320323,0,0
3.08,2.30820323,0,0
3.09,2.29320323,0,0
3.1,2.27820323,0,0
3.11,2.26320323,0,0
3.12,2.24820323,0,0
3.13,2.23320323,0,0
3.14,2.21820323,0,0
3.15,2.20320323,0,0
3.16,2.18820323,0,0
3.17,2.17320323,0,0
3.18,2.15820323,0,0
3.19,2.14320323,0,0
3.2,2.12820323,0,0
3.21,2.11320323,0,0
3.22,2.09820323,0,0
3.23,2.08320323,0,0
3.24,2.06820323,0,0
3.25,2.05320323,0,0
3.26,2.03820323,0,0
3.27,2.02320323,0,0
3.28,2.00820323,0,0
3.29,1.99320323,0,0
3.3,1.97820323,0,0
3.31,1.96320323,0,0
3.32,1.94820323,0,0
3.33,1.93320323,0,0
3.34,1.91820323,0,0
3.35,1.90320323,0,0
3.36,1.88820323,0,0
3.37,1.87320323,0,0
3.38,1.85820323,0,0
3.39,1.84320323,0,0
3.4,1.82820323,0,0
3.41,1.81320323,0,0
3.42,1.79820323,0,0
3.43,1.78320323,0,0
3.44,1.76820323,0,0
3.45,1.75320323,0,0
3.46,1.73820323,0,0
3.47,1.72320323,0,0
3.48,1.70820323,0,0
3.49,1.69320323,0,0
3.5,1.67820323,0,0
3.51,1.66320323,0,0
3.52,1.64820323,0,0
3.53,1.63320323,0,0
3.54,1.61820323,0,0
3.55,1.60320323,0,0
3.56,1.58820323,0,0
3.57,1.57320323,0,0
3.58,1.55820323,0,0
3.59,1.54320323,0,0
3.6,1.52820323,0,0
3.61,1.51320323,0,0
3.62,1.49820323,0,0
3.63,1.48320323,0,0
3.64,1.46820323,0,0
3.65,1.45320323,0,0
3.66,1.43820323,0,0
3.67,1.42320323,0,0
3.68,1.40820323,0,0
3.69,1.39320323,0,0
3.7,1.37820323,0,0
3.71,1.36320323,0,0
3.72,1.34820323,0,0
3.73,1.33320323,0,0
3.74,1.31820323,0,0
3.75,1.30320323,0,0
3.76,1.28820323,0,0
3.77,1.27320323,0,0
3.78,1.25820323,0,0
3.79,1.24320323,0,0
3.8,1.22820323,0,0
3.81,1.21320323,0,0
3.82,1.19820323,0,0
3.83,1.18320323,0,0
3.84,1.16820323,0,0
3.85,1.15320323,0,0
3.86,1.13820323,0,0
3.87,1.12320323,0,0
3.88,1.10820323,0,0
3.89,1.09320323,0,0
3.9,1.07820323,0,0
3.91,1.06320323,0,0
3.92,1.04820323,0,0
3.93,1.03320323,0,0
3.94,1.01820323,0,0
3.95,1.00320323,0,0
3.96,0.98820323,0,0
3.97,0.97320323,0,0
3.98,0.95820323,0,0
3.99,0.94320323,0,0
4,0.92820323,0,0
4.01,0.91320323,0,0
4.02,0.89820323,0,0
4.03,0.88320323,0,0
4.04,0.86820323,0,0
4.05,0.85320323,0,0
4.06,0.83820323,0,0
4.07,0.82320323,0,0
4.08,0.80820323,0,0
4.09,0.79320323,0,0
4.1,0.77820323,0,0
4.11,0.76320323,0,0
4.12,0.74820323,0,0
4.13,0.73320323,0,0
4.14,0.71820323,0,0
4.15,0.70320323,0,0
4.16,0.68820323,0,0
4.17,0.67320323,0,0
4.18,0.65820323,0,0
4.19,0.64320323,0,0
4.2,0.62820323,0,0
4.21,0.61320323,0,0
4.22,0.59820323,0,0
4.23,0.58320323,0,0
4.24,0.56820323,0,0
4.25,0.55320323,0,0
4.26,0.53820323,0,0
4.27,0.52320323,0,0
4.28,0.50820323,0,0
4.29,0.49320323,0,0
4.3,0.47820323,0,0
4.31,0.46320323,0,0
4.32,0.44820323,0,0
4.33,0.43320323,0,0
4.34,0.41820323,0,0
4.35,0.40320323,0,0
4.36,0.38820323,0,0
4.37,0.37320323,0,0
4.38,0.35820323,0,0
4.39,0.34320323,0,0
4.4,0.32820323,0,0
4.41,0.31320323,0,0
4.42,0.29820323,0,0
4.43,0.28320323,0,0
