time,vx, vy, vtheta
2.5,1.2,0,0
2.51,1.1952,0,0
2.52,1.1904,0,0
2.53,1.1856,0,0
2.54,1.1808,0,0
2.55,1.176,0,0
2.56,1.1712,0,0
2.57,1.1664,0,0
2.58,1.1616,0,0
2.59,1.1568,0,0
2.6,1.152,0,0
2.61,1.1472,0,0
2.62,1.1424,0,0
2.63,1.1376,0,0
2.64,1.1328,0,0
2.65,1.128,0,0
2.66,1.1232,0,0
2.67,1.1184,0,0
2.68,1.1136,0,0
2.69,1.1088,0,0
2.7,1.104,0,0
2.71,1.0992,0,0
2.72,1.0944,0,0
2.73,1.0896,0,0
2.74,1.0848,0,0
2.75,1.08,0,0
2.76,1.0752,0,0
2.77,1.0704,0,0
2.78,1.0656,0,0
2.79,1.0608,0,0
2.8,1.056,0,0
2.81,1.0512,0,0
2.82,1.0464,0,0
2.83,1.0416,0,0
2.84,1.0368,0,0
2.85,1.032,0,0
2.86,1.0272,0,0
2.87,1.0224,0,0
2.88,1.0176,0,0
2.89,1.0128,0,0
2.9,1.008,0,0
2.91,1.0032,0,0
2.92,0.9984,0,0
2.93,0.9936,0,0
2.94,0.9888,0,0
2.95,0.984,0,0
2.96,0.9792,0,0
2.97,0.9744,0,0
2.98,0.9696,0,0
2.99,0.9648,0,0
3,0.96,0,0
3.01,0.9552,0,0
3.02,0.9504,0,0
3.03,0.9456,0,0
3.04,0.9408,0,0
3.05,0.936,0,0
3.06,0.9312,0,0
3.07,0.9264,0,0
3.08,0.9216,0,0
3.09,0.9168,0,0
3.1,0.912,0,0
3.11,0.9072,0,0
3.12,0.9024,0,0
3.13,0.8976,0,0
3.14,0.8928,0,0
3.15,0.888,0,0
3.16,0.8832,0,0
3.17,0.8784,0,0
3.18,0.8736,0,0
3.19,0.8688,0,0
3.2,0.864,0,0
3.21,0.8592,0,0
3.22,0.8544,0,0
3.23,0.8496,0,0
3.24,0.8448,0,0
3.25,0.84,0,0
3.26,0.8352,0,0
3.27,0.8304,0,0
3.28,0.8256,0,0
3.29,0.8208,0,0
3.3,0.816,0,0
3.31,0.8112,0,0
3.32,0.8064,0,0
3.33,0.8016,0,0
3.34,0.7968,0,0
3.35,0.792,0,0
3.36,0.7872,0,0
3.37,0.7824,0,0
3.38,0.7776,0,0
3.39,0.7728,0,0
3.4,0.768,0,0
3.41,0.7632,0,0
3.42,0.7584,0,0
3.43,0.7536,0,0
3.44,0.7488,0,0
3.45,0.744,0,0
3.46,0.7392,0,0
3.47,0.7344,0,0
3.48,0.7296,0,0
3.49,0.7248,0,0
3.5,0.72,0,0
3.51,0.7152,0,0
3.52,0.7104,0,0
3.53,0.7056,0,0
3.54,0.7008,0,0
3.55,0.696,0,0
3.56,0.6912,0,0
3.57,0.6864,0,0
3.58,0.6816,0,0
3.59,0.6768,0,0
3.6,0.672,0,0
3.61,0.6672,0,0
3.62,0.6624,0,0
3.63,0.6576,0,0
3.64,0.6528,0,0
3.65,0.648,0,0
3.66,0.6432,0,0
3.67,0.6384,0,0
3.68,0.6336,0,0
3.69,0.6288,0,0
3.7,0.624,0,0
